"region","date","value"
"St. Johns County,FL","19",0.0454545454545455
"Miami-Dade County,FL","19",0
"Palm Beach County,FL","19",0
"Broward County,FL","19",0
"Martin County,FL","19",0
"Sumter County,FL","19",0
"Hernando County,FL","19",0
"Collier County,FL","19",0
"Lee County,FL","19",0
"Bay County,FL","19",0
"Indian River County,FL","19",0
"Marion County,FL","19",0
"St. Lucie County,FL","19",0
"Seminole County,FL","19",0
"Charlotte County,FL","19",0
"Citrus County,FL","19",0
"Brevard County,FL","19",0
"Sarasota County,FL","19",0
"Manatee County,FL","19",0
"Polk County,FL","19",0
"Nassau County,FL","19",0
"NULL,FL","19",0
"Flagler County,FL","19",0
"Lake County,FL","19",0
"Hillsborough County,FL","20",0
"Duval County,FL","20",0.241935483870968
"Clay County,FL","20",0.8
"Columbia County,FL","20",0.331210191082803
"Pinellas County,FL","20",0
"Pasco County,FL","20",0
"Osceola County,FL","20",0.189655172413793
"Orange County,FL","20",0.238738738738739
"Putnam County,FL","20",NA
"Alachua County,FL","20",0.142857142857143
"Volusia County,FL","20",0.2
"Leon County,FL","20",0.018018018018018
"St. Johns County,FL","20",0.0727272727272727
"Miami-Dade County,FL","20",0
"Palm Beach County,FL","20",0
"Broward County,FL","20",0
"Martin County,FL","20",0
"Sumter County,FL","20",0
"Hernando County,FL","20",0
"Collier County,FL","20",0
"Lee County,FL","20",0
"Bay County,FL","20",0
"Indian River County,FL","20",0
"Marion County,FL","20",0
"St. Lucie County,FL","20",0
"Seminole County,FL","20",0
"Charlotte County,FL","20",0
"Citrus County,FL","20",0
"Brevard County,FL","20",0
"Sarasota County,FL","20",0
"Manatee County,FL","20",0
"Polk County,FL","20",0
"Nassau County,FL","20",0
"NULL,FL","20",0
"Flagler County,FL","20",0
"Lake County,FL","20",0
"Hillsborough County,FL","21",0
"Duval County,FL","21",0.161290322580645
"Clay County,FL","21",0.266666666666667
"Columbia County,FL","21",0.178343949044586
"Pinellas County,FL","21",0
"Pasco County,FL","21",0
"Osceola County,FL","21",0.235632183908046
"Orange County,FL","21",0.117117117117117
"Putnam County,FL","21",NA
"Alachua County,FL","21",0.114285714285714
"Volusia County,FL","21",0.138461538461538
"Leon County,FL","21",0.018018018018018
"St. Johns County,FL","21",0.0545454545454545
"Miami-Dade County,FL","21",0
"Palm Beach County,FL","21",0
"Broward County,FL","21",0
"Martin County,FL","21",0
"Sumter County,FL","21",0
"Hernando County,FL","21",0
"Collier County,FL","21",0
"Lee County,FL","21",0
"Bay County,FL","21",0
"Indian River County,FL","21",0
"Marion County,FL","21",0
"St. Lucie County,FL","21",0
"Seminole County,FL","21",0
"Charlotte County,FL","21",0
"Citrus County,FL","21",0
"Brevard County,FL","21",0
"Sarasota County,FL","21",0
"Manatee County,FL","21",0
"Polk County,FL","21",0
"Nassau County,FL","21",0
"NULL,FL","21",0
"Flagler County,FL","21",0
"Lake County,FL","21",0
"Hillsborough County,FL","22",0
"Duval County,FL","22",0.564516129032258
"Clay County,FL","22",0.466666666666667
"Columbia County,FL","22",0.229299363057325
"Pinellas County,FL","22",0
"Pasco County,FL","22",0.142857142857143
"Osceola County,FL","22",0.362068965517241
"Orange County,FL","22",0.207207207207207
"Putnam County,FL","22",NA
"Alachua County,FL","22",0.114285714285714
"Volusia County,FL","22",0.461538461538462
"Leon County,FL","22",0.0720720720720721
"St. Johns County,FL","22",0.1
"Miami-Dade County,FL","22",0
"Palm Beach County,FL","22",0
"Broward County,FL","22",0
"Martin County,FL","22",0
"Sumter County,FL","22",0
"Hernando County,FL","22",0
"Collier County,FL","22",0
"Lee County,FL","22",0
"Bay County,FL","22",0
"Indian River County,FL","22",0
"Marion County,FL","22",0
"St. Lucie County,FL","22",0
"Seminole County,FL","22",0
"Charlotte County,FL","22",0
"Citrus County,FL","22",0
"Brevard County,FL","22",0.0050251256281407
"Sarasota County,FL","22",0.0133333333333333
"Manatee County,FL","22",0
"Polk County,FL","22",0
"Nassau County,FL","22",0
"NULL,FL","22",0
"Flagler County,FL","22",0
"Lake County,FL","22",0
"Hillsborough County,FL","23",0.00401606425702811
"Duval County,FL","23",0.0645161290322581
"Clay County,FL","23",0.266666666666667
"Columbia County,FL","23",0.305732484076433
"Pinellas County,FL","23",0.00478468899521531
"Pasco County,FL","23",0.111111111111111
"Osceola County,FL","23",0.298850574712644
"Orange County,FL","23",0.391891891891892
"Putnam County,FL","23",NA
"Alachua County,FL","23",0.114285714285714
"Volusia County,FL","23",0.184615384615385
"Leon County,FL","23",0.0990990990990991
"St. Johns County,FL","23",0.127272727272727
"Miami-Dade County,FL","23",0.0861423220973783
"Palm Beach County,FL","23",0
"Broward County,FL","23",0
