"zips","lon","lat"
"75034",-96.8565427,33.1376528
"75043",-96.5890166,32.8493511
"75069",-96.5890166,33.1632842
"75071",-96.6317461,33.2505263
"75081",-96.6958939,32.9559018
"75082",-96.6584666,32.9971512
"75088",-96.5463156,32.8965009
"75093",-96.8243812,33.0386278
"75104",-96.9853474,32.5918484
"75119",-96.6210611,32.3185311
"75125",-96.642433,32.5203683
"75150",-96.6317461,32.824634
"75214",-96.7440467,32.824251
"75219",-96.8109852,32.8122051
"75230",-96.7868794,32.9005121
"75234",-96.8672668,32.9241691
"75237",-96.8726295,32.6711817
"75254",-96.8002704,32.9418531
"75482",-95.6037465,33.1778784
"75501",-94.1309067,33.3922515
"75503",-94.1309067,33.526533
"75551",-94.2128337,33.1203928
"75570",-94.43879,33.4935489
"75604",-94.8002333,32.502529
"75670",-94.4182089,32.5729402
"75965",-94.6553679,31.7145848
"76002",-97.0874964,32.6254959
"76010",-97.0767365,32.7272701
"76013",-97.1520926,32.7229925
"76014",-97.0874964,32.6929511
"76015",-97.1305536,32.6905101
"76017",-97.1467072,32.6614911
"76020",-97.5463885,32.9186258
"76022",-97.1440146,32.8329317
"76033",-97.5030669,32.2917352
"76034",-97.1467072,32.8860707
"76040",-97.1036396,32.821201
"76043",-97.8286368,32.1591765
"76049",-97.7199454,32.4588558
"76051",-97.0713572,32.9464268
"76052",-97.3840729,32.9843533
"76058",-97.4273195,32.4652204
"76063",-97.1416926,32.563183
"76065",-96.9638624,32.4804629
"76066",-98.0247005,32.7094247
"76102",-97.3246534,32.7579468
"76104",-97.3138554,32.7248887
"76106",-97.3462545,32.8128038
"76107",-97.3840729,32.737615
"76108",-97.5138947,32.7747949
"76110",-97.3354531,32.7011609
"76112",-97.2113605,32.7476771
"76114",-97.4002872,32.7759515
"76116",-97.4435441,32.717251
"76117",-97.276076,32.8112934
"76119",-97.276076,32.6765319
"76134",-97.3408535,32.6502803
"76137",-97.2976617,32.8549165
"76140",-97.276076,32.631572
"76179",-97.3641377,32.8601513
"76180",-97.2329255,32.8362389
"76234",-97.4814163,33.2581763
"76248",-97.2329255,32.9259646
"76426",-97.8503951,33.1683909
"76448",-98.770147,32.3899783
"76705",-97.0713572,31.5923712
"76712",-97.286868,31.5348439
"76903",-100.4508956,31.4846812
"77070",-95.5587992,29.9601879
"77304",-95.509247,30.3315253
"77339",-95.2162283,30.0442264
"77340",-95.5407299,30.6631264
"77351",-94.7691586,30.670725
"77356",-95.6878736,30.4502629
"77377",-95.6773512,30.0712446
"77381",-95.509247,30.1704912
"77386",-95.3730176,30.1185635
"77437",-96.2800864,29.2243175
"77461",-95.8353837,29.4064736
"77471",-95.8775964,29.543368
"77488",-96.1314928,29.3006517
"77546",-95.1953554,29.5370503
"77584",-95.3207069,29.5321026
"77845",-96.3013432,30.5368372
"78064",-98.4403573,28.9207064
"78130",-98.068343,29.7049806
"78148",-98.3033694,29.5465678
"78154",-98.2760021,29.5885761
"78207",-98.5226706,29.4174949
"78209",-98.4513272,29.4854054
"78214",-98.4677851,29.3172731
"78216",-98.4952228,29.5516834
"78217",-98.4239055,29.538966
"78219",-98.3910127,29.4489141
"78223",-98.4074573,29.3037971
"78230",-98.555621,29.542044
"78245",-98.7371039,29.3978144
"78249",-98.6050736,29.5676137
"78251",-98.6765618,29.4651184
"78253",-98.8142264,29.4733158
"78256",-98.6215649,29.6183126
"78258",-98.4732718,29.6451457
"78310",-92.2862807,37.7661307
"78415",-97.5030669,27.6515548
"78501",-98.2322355,26.2188442
"78503",-98.2541155,26.1706746
"78504",-98.2322355,26.2892001
"78539",-98.1884949,26.268255
